,ActivityPageViewed,BetAttempted,BetConfirmationCancelled,BetConfirmationViewed,BetPlaced,BetSlipCleared,BlackjackRoundCompleted,BlackjackStart,BonusClaimed,CashOut,CasinoPageViewed,CasinoRoundCompleted,CasinoSpinClicked,CasinoStakeChanged,DepositCompleted,DepositStarted,HomeViewed,LoginSuccess,Logout,MyBetsPageViewed,NearMissShown,OutcomeRemoved,OutcomeSelected,PageViewed,ProfileEdited,ProfileViewed,RegisterSuccess,RoulettePageViewed,RouletteSpinPlaced,StakeChanged,WheelSpin
CasinoRoundCompleted,0.0014,0.0,0.0,0.0,0.0,0.0007,0.0,0.0072,0.0,0.0014,0.3608,0.0,0.461,0.0,0.0,0.0079,0.0,0.0,0.0079,0.0,0.1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0,0.0,0.0
CasinoSpinClicked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CasinoStakeChanged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DepositCompleted,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.6111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DepositStarted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,0.1509,0.0,0.0,0.0,0.8113,0.0,0.0,0.0,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HomeViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.1085,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3798,0.0,0.0,0.0,0.0078,0.0,0.0,0.4729
LoginSuccess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MyBetsPageViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0
NearMissShown,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0173,0.0,0.0,0.0035,0.0,0.8997,0.0,0.0,0.0138,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484,0.0,0.0,0.0
OutcomeRemoved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OutcomeSelected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PageViewed,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424,0.5126,0.2424,0.0,0.0,0.0,0.0,0.0,0.2,0.0
ProfileEdited,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ProfileViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RegisterSuccess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoulettePageViewed,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0265,0.0,0.0354,0.0,0.0,0.0,0.0,0.0,0.0619,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8584,0.0,0.0
RouletteSpinPlaced,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0443,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0253,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994,0.712,0.0,0.0
StakeChanged,0.0,0.6906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3094,0.0
WheelSpin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
