UserId,dailyDeposit,dailyLoss,edit_count
0192cc80-656c-46f4-a092-118f895b5162,500,50,1
36e9cf9e-9437-4894-9ae5-595d95117bc1,100,100,1
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,200,50,1
4500baff-cb06-46d3-ba87-68cc617bde5f,250,125,2
6256d4b2-a7ef-479a-9793-0c1735f25e85,300,200,1
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,100,200,4
72d999af-07ec-4415-974c-abf642c86538,300,50,1
8777ceeb-c0fe-4f78-8e86-dd5428507c32,500,150,1
9ad14b84-d581-426b-967c-9359c7b533f7,500,100,1
a040f35e-2eff-400f-bcd2-ac2f4611e6da,200,150,1
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,500,200,1
e325cae0-ec05-405b-b39e-9d316f5a4c15,300,200,1
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,200,200,3
fda732af-1a91-41d6-b91e-15ee3098151f,200,50,1
fe0798a3-83e9-44d2-95a1-221b586c3572,500,100,1
